english_sentence,alc_statement
Each person uses a transaction.,Person ⊑ ∃uses.Transaction
A department is neither a university nor a patient.,Department ⊑ ¬(University ⊔ Patient)
A artist or a university.,Artist ⊔ University
A food cannot be a course.,Food ⊑ ¬Course
Every scientist is a dog.,Scientist ⊑ Dog
No food is a animal.,Food ⊑ ¬Animal
Every transaction is both a device and a doctor.,Transaction ⊑ Device ⊓ Doctor
Every manager treats only things that are either a software or a publication.,Manager ⊑ ∀treats.(Software ⊔ Publication)
Every building is a hardware that is located in only courses.,Building ⊑ Hardware ⊓ ∀locatedIn.Course
Every scientist operates only orders.,Scientist ⊑ ∀operates.Order
A transaction is neither a bank nor a book.,Transaction ⊑ ¬(Bank ⊔ Book)
A supplier or a movie.,Supplier ⊔ Movie
Each school owns a product.,School ⊑ ∃owns.Product
Every student is both a manager and a cat.,Student ⊑ Manager ⊓ Cat
"If a car works for anything, it must be a machine.",Car ⊑ ∀worksFor.Machine
Every artist that works for a employee is a car.,Artist ⊓ ∃worksFor.Employee ⊑ Car
Whatever is both a teacher and a cat uses a manager.,Teacher ⊓ Cat ⊑ ∃uses.Manager
Every hospital is both a company and a movie.,Hospital ⊑ Company ⊓ Movie
"If a publication develops anything, it must be a transaction.",Publication ⊑ ∀develops.Transaction
Anything that attends a building.,∃attends.Building
No patient is a movie.,Patient ⊑ ¬Movie
A invoice is something that teaches a service.,Invoice ⊑ ∃teaches.Service
Every music is a patient that supervises only employees.,Music ⊑ Patient ⊓ ∀supervises.Employee
Every cat that attends only patients is a city.,Cat ⊓ ∀attends.Patient ⊑ City
A software and a product.,Software ⊓ Product
Nothing that is a company is a service.,Company ⊑ ¬Service
Each hardware funds a patient.,Hardware ⊑ ∃funds.Patient
"If a person authors anything, it must be a doctor.",Person ⊑ ∀authors.Doctor
A hospital is something that supervises a building.,Hospital ⊑ ∃supervises.Building
Whatever is both a employee and a course has child a customer.,Employee ⊓ Course ⊑ ∃hasChild.Customer
Every country reads at least one service.,Country ⊑ ∃reads.Service
Every transaction that delivers a hardware is a movie.,Transaction ⊓ ∃delivers.Hardware ⊑ Movie
Anything that attends a book.,∃attends.Book
All machines are softwares.,Machine ⊑ Software
Every building is either a employee or a machine.,Building ⊑ Employee ⊔ Machine
Anything that uses a school also uses a course.,∃uses.School ⊑ ∃uses.Course
A department is always a manager.,Department ⊑ Manager
Every city is a supplier that develops only researchers.,City ⊑ Supplier ⊓ ∀develops.Researcher
Every teacher is both a machine and a scientist.,Teacher ⊑ Machine ⊓ Scientist
A invoice is always a movie.,Invoice ⊑ Movie
Every dog creates only countrys.,Dog ⊑ ∀creates.Country
Every dog that supervises a city is a country.,Dog ⊓ ∃supervises.City ⊑ Country
A movie cannot be a music.,Movie ⊑ ¬Music
Every service is either a manager or a person.,Service ⊑ Manager ⊔ Person
A patient attends exclusively managers.,Patient ⊑ ∀attends.Manager
Every country works for only publications.,Country ⊑ ∀worksFor.Publication
Whatever is both a city and a food authors a organization.,City ⊓ Food ⊑ ∃authors.Organization
Each software maintains a account.,Software ⊑ ∃maintains.Account
Every music creates something that is both a school and a person.,Music ⊑ ∃creates.(School ⊓ Person)
Every hardware manages only things that are either a animal or a movie.,Hardware ⊑ ∀manages.(Animal ⊔ Movie)
Whatever is both a publication and a country manages a researcher.,Publication ⊓ Country ⊑ ∃manages.Researcher
Every hardware that produces only projects is a company.,Hardware ⊓ ∀produces.Project ⊑ Company
Anything that attends only accounts.,∀attends.Account
Every artist is a country that sells only universitys.,Artist ⊑ Country ⊓ ∀sells.University
All artists are employees as well as doctors.,Artist ⊑ Employee ⊓ Doctor
Every company likes only things that are either a teacher or a person.,Company ⊑ ∀likes.(Teacher ⊔ Person)
A publication is neither a artist nor a country.,Publication ⊑ ¬(Artist ⊔ Country)
Every product that reads only hardwares is a account.,Product ⊓ ∀reads.Hardware ⊑ Account
"If a person delivers anything, it must be a researcher.",Person ⊑ ∀delivers.Researcher
Whatever is both a project and a software knows a teacher.,Project ⊓ Software ⊑ ∃knows.Teacher
A hardware treats exclusively projects.,Hardware ⊑ ∀treats.Project
All animals are foods.,Animal ⊑ Food
A library and a city.,Library ⊓ City
All engineers are defined as a hardware or a invoice.,Engineer ⊑ Hardware ⊔ Invoice
A city cannot be a course.,City ⊑ ¬Course
Every department is a cat.,Department ⊑ Cat
Anything that delivers a city also delivers a company.,∃delivers.City ⊑ ∃delivers.Company
No customer is a teacher.,Customer ⊑ ¬Teacher
A service and a plant.,Service ⊓ Plant
Every book is both a student and a movie.,Book ⊑ Student ⊓ Movie
Every plant is either a company or a manager.,Plant ⊑ Company ⊔ Manager
Every supplier likes only librarys.,Supplier ⊑ ∀likes.Library
Every researcher is a country.,Researcher ⊑ Country
All scientists are teachers as well as patients.,Scientist ⊑ Teacher ⊓ Patient
All orders are defined as a transaction or a dog.,Order ⊑ Transaction ⊔ Dog
Every researcher attends only customers.,Researcher ⊑ ∀attends.Customer
All orders are teachers as well as accounts.,Order ⊑ Teacher ⊓ Account
Every software designs only librarys.,Software ⊑ ∀designs.Library
Every movie that reads only books is a food.,Movie ⊓ ∀reads.Book ⊑ Food
A movie is always a cat.,Movie ⊑ Cat
Every researcher is a transaction that uses only animals.,Researcher ⊑ Transaction ⊓ ∀uses.Animal
A movie or a invoice.,Movie ⊔ Invoice
Every organization that attends a hardware is a publication.,Organization ⊓ ∃attends.Hardware ⊑ Publication
A movie is something that designs a customer.,Movie ⊑ ∃designs.Customer
Whatever is both a department and a engineer produces a device.,Department ⊓ Engineer ⊑ ∃produces.Device
Every hardware produces at least one person.,Hardware ⊑ ∃produces.Person
A order and a machine.,Order ⊓ Machine
Every library is either a service or a product.,Library ⊑ Service ⊔ Product
Every building works for only courses.,Building ⊑ ∀worksFor.Course
A university or a movie.,University ⊔ Movie
Every library is either a doctor or a city.,Library ⊑ Doctor ⊔ City
Every student is both a book and a project.,Student ⊑ Book ⊓ Project
Every manager is both a building and a engineer.,Manager ⊑ Building ⊓ Engineer
A artist is something that delivers a device.,Artist ⊑ ∃delivers.Device
Every customer that owns a hospital is a supplier.,Customer ⊓ ∃owns.Hospital ⊑ Supplier
A music cannot be a bank.,Music ⊑ ¬Bank
A order is neither a car nor a department.,Order ⊑ ¬(Car ⊔ Department)
Every service owns only employees.,Service ⊑ ∀owns.Employee
Anything that buys a researcher also buys a service.,∃buys.Researcher ⊑ ∃buys.Service
Every school is a hardware that likes only scientists.,School ⊑ Hardware ⊓ ∀likes.Scientist
A product is neither a engineer nor a transaction.,Product ⊑ ¬(Engineer ⊔ Transaction)
A hardware is something that designs a product.,Hardware ⊑ ∃designs.Product
Anything that owns a building also owns a product.,∃owns.Building ⊑ ∃owns.Product
Every artist sells only things that are either a company or a school.,Artist ⊑ ∀sells.(Company ⊔ School)
Every city is a company that works for at least one product.,City ⊑ Company ⊓ ∃worksFor.Product
Every organization that likes a city is a company.,Organization ⊓ ∃likes.City ⊑ Company
Every publication is either a software or a doctor.,Publication ⊑ Software ⊔ Doctor
Every project is both a customer and a bank.,Project ⊑ Customer ⊓ Bank
A manager and a invoice.,Manager ⊓ Invoice
Each invoice reads a employee.,Invoice ⊑ ∃reads.Employee
Every machine develops at least one bank.,Machine ⊑ ∃develops.Bank
Every building produces at least one person.,Building ⊑ ∃produces.Person
A customer is neither a invoice nor a software.,Customer ⊑ ¬(Invoice ⊔ Software)
Every software that sells only scientists is a car.,Software ⊓ ∀sells.Scientist ⊑ Car
Every hospital is both a company and a order.,Hospital ⊑ Company ⊓ Order
Every cat supervises at least one movie.,Cat ⊑ ∃supervises.Movie
Every course that maintains only services is a publication.,Course ⊓ ∀maintains.Service ⊑ Publication
"If a student develops anything, it must be a supplier.",Student ⊑ ∀develops.Supplier
Every student is a doctor that reads only musics.,Student ⊑ Doctor ⊓ ∀reads.Music
A service cannot be a department.,Service ⊑ ¬Department
Every dog likes at least one vehicle.,Dog ⊑ ∃likes.Vehicle
Every invoice is either a customer or a company.,Invoice ⊑ Customer ⊔ Company
Every doctor designs only things that are either a building or a student.,Doctor ⊑ ∀designs.(Building ⊔ Student)
"If a employee funds anything, it must be a plant.",Employee ⊑ ∀funds.Plant
A music is always a teacher.,Music ⊑ Teacher
A student and a engineer.,Student ⊓ Engineer
A building cannot be a movie.,Building ⊑ ¬Movie
A service and a bank.,Service ⊓ Bank
Nothing that is a scientist is a account.,Scientist ⊑ ¬Account
A patient or a machine.,Patient ⊔ Machine
A library delivers exclusively customers.,Library ⊑ ∀delivers.Customer
A manager and a machine.,Manager ⊓ Machine
Every animal is both a patient and a bank.,Animal ⊑ Patient ⊓ Bank
Anything that knows only devices.,∀knows.Device
"If a order works for anything, it must be a movie.",Order ⊑ ∀worksFor.Movie
Every music reads only cats.,Music ⊑ ∀reads.Cat
Every hospital knows only things that are either a patient or a order.,Hospital ⊑ ∀knows.(Patient ⊔ Order)
Every service is a account that reads at least one project.,Service ⊑ Account ⊓ ∃reads.Project
Nothing that is a transaction is a school.,Transaction ⊑ ¬School
Anything that reads only buildings.,∀reads.Building
Every transaction likes only things that are either a machine or a company.,Transaction ⊑ ∀likes.(Machine ⊔ Company)
Anything that buys a city also buys a doctor.,∃buys.City ⊑ ∃buys.Doctor
Every engineer is both a service and a device.,Engineer ⊑ Service ⊓ Device
Every cat likes at least one student.,Cat ⊑ ∃likes.Student
Nothing that is a hospital is a vehicle.,Hospital ⊑ ¬Vehicle
Every bank is either a company or a scientist.,Bank ⊑ Company ⊔ Scientist
"If a person works for anything, it must be a school.",Person ⊑ ∀worksFor.School
Every hospital is both a transaction and a invoice.,Hospital ⊑ Transaction ⊓ Invoice
A city is neither a bank nor a building.,City ⊑ ¬(Bank ⊔ Building)
Every hospital that works for a product is a student.,Hospital ⊓ ∃worksFor.Product ⊑ Student
A car or a supplier.,Car ⊔ Supplier
A movie or a machine.,Movie ⊔ Machine
"If a school designs anything, it must be a plant.",School ⊑ ∀designs.Plant
"If a cat buys anything, it must be a plant.",Cat ⊑ ∀buys.Plant
All cars are animals as well as countrys.,Car ⊑ Animal ⊓ Country
Every book that designs only dogs is a researcher.,Book ⊓ ∀designs.Dog ⊑ Researcher
"If a bank attends anything, it must be a department.",Bank ⊑ ∀attends.Department
Every building that develops only companys is a transaction.,Building ⊓ ∀develops.Company ⊑ Transaction
A school is neither a scientist nor a organization.,School ⊑ ¬(Scientist ⊔ Organization)
Every book knows only things that are either a organization or a car.,Book ⊑ ∀knows.(Organization ⊔ Car)
Nothing that is a animal is a person.,Animal ⊑ ¬Person
A company cannot be a teacher.,Company ⊑ ¬Teacher
A bank or a publication.,Bank ⊔ Publication
No person is a device.,Person ⊑ ¬Device
Anything that teaches a cat.,∃teaches.Cat
All managers are buildings as well as researchers.,Manager ⊑ Building ⊓ Researcher
Anything that creates a device.,∃creates.Device
All projects are devices.,Project ⊑ Device
Every invoice is both a researcher and a hardware.,Invoice ⊑ Researcher ⊓ Hardware
Anything that supervises only cars.,∀supervises.Car
Each product reads a animal.,Product ⊑ ∃reads.Animal
A device or a engineer.,Device ⊔ Engineer
Every patient that attends only vehicles is a artist.,Patient ⊓ ∀attends.Vehicle ⊑ Artist
All courses are movies as well as doctors.,Course ⊑ Movie ⊓ Doctor
Nothing that is a hardware is a manager.,Hardware ⊑ ¬Manager
A product is something that sells a bank.,Product ⊑ ∃sells.Bank
A teacher or a car.,Teacher ⊔ Car
A bank or a service.,Bank ⊔ Service
Every machine is both a country and a artist.,Machine ⊑ Country ⊓ Artist
Every book operates something that is both a order and a researcher.,Book ⊑ ∃operates.(Order ⊓ Researcher)
Every company is both a music and a project.,Company ⊑ Music ⊓ Project
A employee is always a course.,Employee ⊑ Course
Every device that manages only organizations is a product.,Device ⊓ ∀manages.Organization ⊑ Product
Each bank is located in a animal.,Bank ⊑ ∃locatedIn.Animal
Every software works for only hospitals.,Software ⊑ ∀worksFor.Hospital
Anything that maintains only orders.,∀maintains.Order
All cars are students as well as doctors.,Car ⊑ Student ⊓ Doctor
Every device creates only things that are either a machine or a student.,Device ⊑ ∀creates.(Machine ⊔ Student)
Every company authors only things that are either a device or a teacher.,Company ⊑ ∀authors.(Device ⊔ Teacher)
Anything that is located in a music.,∃locatedIn.Music
Nothing that is a machine is a order.,Machine ⊑ ¬Order
A building is always a plant.,Building ⊑ Plant
Every course is either a movie or a patient.,Course ⊑ Movie ⊔ Patient
A bank is something that creates a hospital.,Bank ⊑ ∃creates.Hospital
Every hardware works for at least one teacher.,Hardware ⊑ ∃worksFor.Teacher
Every researcher is either a country or a dog.,Researcher ⊑ Country ⊔ Dog
Anything that operates a university also operates a person.,∃operates.University ⊑ ∃operates.Person
Each invoice uses a employee.,Invoice ⊑ ∃uses.Employee
All artists are defined as a engineer or a hospital.,Artist ⊑ Engineer ⊔ Hospital
A employee is neither a vehicle nor a company.,Employee ⊑ ¬(Vehicle ⊔ Company)
A organization cannot be a product.,Organization ⊑ ¬Product
No student is a artist.,Student ⊑ ¬Artist
Every course that has child a animal is a hardware.,Course ⊓ ∃hasChild.Animal ⊑ Hardware
"If a invoice manages anything, it must be a doctor.",Invoice ⊑ ∀manages.Doctor
Each researcher sells a music.,Researcher ⊑ ∃sells.Music
Every organization that is located in a university is a account.,Organization ⊓ ∃locatedIn.University ⊑ Account
A building is something that operates a city.,Building ⊑ ∃operates.City
A customer cannot be a book.,Customer ⊑ ¬Book
Every publication that reads only managers is a company.,Publication ⊓ ∀reads.Manager ⊑ Company
Every person is either a university or a company.,Person ⊑ University ⊔ Company
Every animal that sells only machines is a movie.,Animal ⊓ ∀sells.Machine ⊑ Movie
Anything that sells a project also sells a product.,∃sells.Project ⊑ ∃sells.Product
All softwares are defined as a cat or a hardware.,Software ⊑ Cat ⊔ Hardware
Each dog owns a book.,Dog ⊑ ∃owns.Book
A customer teaches exclusively cars.,Customer ⊑ ∀teaches.Car
Every customer is either a building or a account.,Customer ⊑ Building ⊔ Account
Every music is a project that teaches only hospitals.,Music ⊑ Project ⊓ ∀teaches.Hospital
A university cannot be a machine.,University ⊑ ¬Machine
Anything that buys a product also buys a patient.,∃buys.Product ⊑ ∃buys.Patient
Every transaction is a project.,Transaction ⊑ Project
A manager cannot be a building.,Manager ⊑ ¬Building
Anything that works for only suppliers.,∀worksFor.Supplier
Anything that supervises a cat also supervises a library.,∃supervises.Cat ⊑ ∃supervises.Library
Every hospital is either a artist or a account.,Hospital ⊑ Artist ⊔ Account
All engineers are managers.,Engineer ⊑ Manager
Every organization is a car that reads only doctors.,Organization ⊑ Car ⊓ ∀reads.Doctor
No artist is a account.,Artist ⊑ ¬Account
Nothing that is a bank is a animal.,Bank ⊑ ¬Animal
Every plant is either a employee or a organization.,Plant ⊑ Employee ⊔ Organization
A project is something that reads a city.,Project ⊑ ∃reads.City
A library authors exclusively departments.,Library ⊑ ∀authors.Department
A engineer is always a customer.,Engineer ⊑ Customer
Anything that buys a project.,∃buys.Project
Every country is a service that has child at least one movie.,Country ⊑ Service ⊓ ∃hasChild.Movie
Whatever is both a service and a organization operates a library.,Service ⊓ Organization ⊑ ∃operates.Library
Nothing that is a manager is a product.,Manager ⊑ ¬Product
A artist or a order.,Artist ⊔ Order
Each animal sells a book.,Animal ⊑ ∃sells.Book
No city is a customer.,City ⊑ ¬Customer
A organization creates exclusively banks.,Organization ⊑ ∀creates.Bank
Every company creates at least one person.,Company ⊑ ∃creates.Person
A employee is neither a scientist nor a hospital.,Employee ⊑ ¬(Scientist ⊔ Hospital)
A car is neither a scientist nor a plant.,Car ⊑ ¬(Scientist ⊔ Plant)
Every book is a engineer that creates at least one country.,Book ⊑ Engineer ⊓ ∃creates.Country
A transaction is neither a movie nor a library.,Transaction ⊑ ¬(Movie ⊔ Library)
Every patient is a artist that teaches at least one music.,Patient ⊑ Artist ⊓ ∃teaches.Music
A product or a teacher.,Product ⊔ Teacher
Every publication that likes only doctors is a organization.,Publication ⊓ ∀likes.Doctor ⊑ Organization
Every invoice that treats only departments is a book.,Invoice ⊓ ∀treats.Department ⊑ Book
Every software uses something that is both a food and a school.,Software ⊑ ∃uses.(Food ⊓ School)
All buildings are courses as well as countrys.,Building ⊑ Course ⊓ Country
Every cat that works for only researchers is a service.,Cat ⊓ ∀worksFor.Researcher ⊑ Service
A car cannot be a library.,Car ⊑ ¬Library
Every hardware supervises at least one food.,Hardware ⊑ ∃supervises.Food
Every country is a software.,Country ⊑ Software
All machines are defined as a library or a country.,Machine ⊑ Library ⊔ Country
Every artist creates only things that are either a food or a patient.,Artist ⊑ ∀creates.(Food ⊔ Patient)
Every engineer is both a building and a student.,Engineer ⊑ Building ⊓ Student
Every music is either a engineer or a car.,Music ⊑ Engineer ⊔ Car
Every service is a bank that funds at least one animal.,Service ⊑ Bank ⊓ ∃funds.Animal
A researcher is something that teaches a publication.,Researcher ⊑ ∃teaches.Publication
A hospital or a researcher.,Hospital ⊔ Researcher
Whatever is both a software and a publication buys a customer.,Software ⊓ Publication ⊑ ∃buys.Customer
All softwares are defined as a movie or a bank.,Software ⊑ Movie ⊔ Bank
A transaction funds exclusively projects.,Transaction ⊑ ∀funds.Project
No hospital is a engineer.,Hospital ⊑ ¬Engineer
All banks are foods.,Bank ⊑ Food
Each city creates a food.,City ⊑ ∃creates.Food
All plants are defined as a software or a music.,Plant ⊑ Software ⊔ Music
Every company buys at least one book.,Company ⊑ ∃buys.Book
A movie is always a vehicle.,Movie ⊑ Vehicle
Anything that owns only employees.,∀owns.Employee
A device cannot be a vehicle.,Device ⊑ ¬Vehicle
A machine and a vehicle.,Machine ⊓ Vehicle
A project is neither a scientist nor a person.,Project ⊑ ¬(Scientist ⊔ Person)
Anything that is located in a project also is located in a publication.,∃locatedIn.Project ⊑ ∃locatedIn.Publication
Every department has child something that is both a researcher and a movie.,Department ⊑ ∃hasChild.(Researcher ⊓ Movie)
A person cannot be a plant.,Person ⊑ ¬Plant
Every country is either a student or a department.,Country ⊑ Student ⊔ Department
A invoice cannot be a school.,Invoice ⊑ ¬School
A building is always a product.,Building ⊑ Product
A patient owns exclusively products.,Patient ⊑ ∀owns.Product
Anything that uses only transactions.,∀uses.Transaction
A service or a music.,Service ⊔ Music
Anything that manages a order.,∃manages.Order
Anything that works for a product.,∃worksFor.Product
Every manager is either a scientist or a project.,Manager ⊑ Scientist ⊔ Project
All machines are engineers as well as artists.,Machine ⊑ Engineer ⊓ Artist
Every dog that uses a customer is a scientist.,Dog ⊓ ∃uses.Customer ⊑ Scientist
A service or a university.,Service ⊔ University
No bank is a researcher.,Bank ⊑ ¬Researcher
Whatever is both a hardware and a transaction reads a vehicle.,Hardware ⊓ Transaction ⊑ ∃reads.Vehicle
Each car buys a invoice.,Car ⊑ ∃buys.Invoice
Every invoice likes at least one transaction.,Invoice ⊑ ∃likes.Transaction
A dog is something that knows a movie.,Dog ⊑ ∃knows.Movie
A library cannot be a building.,Library ⊑ ¬Building
Every doctor designs only things that are either a order or a patient.,Doctor ⊑ ∀designs.(Order ⊔ Patient)
Every food that teaches only publications is a hardware.,Food ⊓ ∀teaches.Publication ⊑ Hardware
A hardware manages exclusively cats.,Hardware ⊑ ∀manages.Cat
A plant is something that designs a movie.,Plant ⊑ ∃designs.Movie
All organizations are scientists.,Organization ⊑ Scientist
No device is a university.,Device ⊑ ¬University
Every building is a car that knows only patients.,Building ⊑ Car ⊓ ∀knows.Patient
Anything that is located in a hardware also is located in a food.,∃locatedIn.Hardware ⊑ ∃locatedIn.Food
A car maintains exclusively orders.,Car ⊑ ∀maintains.Order
Anything that has child only musics.,∀hasChild.Music
Anything that has child only banks.,∀hasChild.Bank
Nothing that is a company is a bank.,Company ⊑ ¬Bank
All projects are defined as a person or a department.,Project ⊑ Person ⊔ Department
Every supplier is a manager that designs only projects.,Supplier ⊑ Manager ⊓ ∀designs.Project
Every student is a doctor that attends at least one school.,Student ⊑ Doctor ⊓ ∃attends.School
Every invoice authors at least one service.,Invoice ⊑ ∃authors.Service
All dogs are defined as a animal or a transaction.,Dog ⊑ Animal ⊔ Transaction
Anything that authors only employees.,∀authors.Employee
A engineer is neither a employee nor a library.,Engineer ⊑ ¬(Employee ⊔ Library)
All orders are products as well as movies.,Order ⊑ Product ⊓ Movie
Anything that attends only invoices.,∀attends.Invoice
A university is neither a researcher nor a plant.,University ⊑ ¬(Researcher ⊔ Plant)
No organization is a library.,Organization ⊑ ¬Library
Every movie owns only animals.,Movie ⊑ ∀owns.Animal
Every scientist attends at least one employee.,Scientist ⊑ ∃attends.Employee
A vehicle or a publication.,Vehicle ⊔ Publication
Every hospital is either a researcher or a person.,Hospital ⊑ Researcher ⊔ Person
A department is something that operates a publication.,Department ⊑ ∃operates.Publication
Every car that creates a university is a hardware.,Car ⊓ ∃creates.University ⊑ Hardware
Every plant designs something that is both a manager and a supplier.,Plant ⊑ ∃designs.(Manager ⊓ Supplier)
All orders are students.,Order ⊑ Student
Anything that develops a dog also develops a device.,∃develops.Dog ⊑ ∃develops.Device
Every account produces at least one artist.,Account ⊑ ∃produces.Artist
No supplier is a student.,Supplier ⊑ ¬Student
Every engineer knows something that is both a service and a bank.,Engineer ⊑ ∃knows.(Service ⊓ Bank)
A order is always a patient.,Order ⊑ Patient
A supplier supervises exclusively schools.,Supplier ⊑ ∀supervises.School
Anything that likes a animal also likes a cat.,∃likes.Animal ⊑ ∃likes.Cat
A course is neither a manager nor a university.,Course ⊑ ¬(Manager ⊔ University)
No school is a university.,School ⊑ ¬University
All projects are defined as a transaction or a music.,Project ⊑ Transaction ⊔ Music
No project is a country.,Project ⊑ ¬Country
Anything that authors only musics.,∀authors.Music
A artist is neither a hospital nor a service.,Artist ⊑ ¬(Hospital ⊔ Service)
A machine is neither a product nor a library.,Machine ⊑ ¬(Product ⊔ Library)
Every artist is a engineer that funds at least one dog.,Artist ⊑ Engineer ⊓ ∃funds.Dog
Every manager is either a project or a product.,Manager ⊑ Project ⊔ Product
Each artist develops a animal.,Artist ⊑ ∃develops.Animal
All plants are universitys.,Plant ⊑ University
Each product knows a teacher.,Product ⊑ ∃knows.Teacher
Every organization works for only things that are either a manager or a music.,Organization ⊑ ∀worksFor.(Manager ⊔ Music)
Anything that buys only universitys.,∀buys.University
A hardware develops exclusively teachers.,Hardware ⊑ ∀develops.Teacher
Every book is a dog that sells at least one scientist.,Book ⊑ Dog ⊓ ∃sells.Scientist
Every project manages only employees.,Project ⊑ ∀manages.Employee
Every cat uses something that is both a account and a doctor.,Cat ⊑ ∃uses.(Account ⊓ Doctor)
Every department is a teacher that delivers at least one city.,Department ⊑ Teacher ⊓ ∃delivers.City
Each product authors a school.,Product ⊑ ∃authors.School
All customers are defined as a food or a organization.,Customer ⊑ Food ⊔ Organization
A cat is neither a library nor a scientist.,Cat ⊑ ¬(Library ⊔ Scientist)
Every artist works for something that is both a music and a cat.,Artist ⊑ ∃worksFor.(Music ⊓ Cat)
Every library is either a patient or a hardware.,Library ⊑ Patient ⊔ Hardware
A country or a transaction.,Country ⊔ Transaction
Anything that develops a project also develops a cat.,∃develops.Project ⊑ ∃develops.Cat
Every project is a plant that funds only animals.,Project ⊑ Plant ⊓ ∀funds.Animal
Every movie that maintains a supplier is a publication.,Movie ⊓ ∃maintains.Supplier ⊑ Publication
Every doctor that supervises a animal is a hardware.,Doctor ⊓ ∃supervises.Animal ⊑ Hardware
Every cat is a publication that delivers at least one movie.,Cat ⊑ Publication ⊓ ∃delivers.Movie
Every library funds only things that are either a school or a doctor.,Library ⊑ ∀funds.(School ⊔ Doctor)
Every order is a university that has child only foods.,Order ⊑ University ⊓ ∀hasChild.Food
All vehicles are defined as a animal or a department.,Vehicle ⊑ Animal ⊔ Department
A hospital is neither a book nor a car.,Hospital ⊑ ¬(Book ⊔ Car)
A manager cannot be a organization.,Manager ⊑ ¬Organization
A software is neither a school nor a teacher.,Software ⊑ ¬(School ⊔ Teacher)
Every scientist is either a engineer or a publication.,Scientist ⊑ Engineer ⊔ Publication
A course cannot be a department.,Course ⊑ ¬Department
Every course teaches something that is both a transaction and a product.,Course ⊑ ∃teaches.(Transaction ⊓ Product)
A food is something that owns a library.,Food ⊑ ∃owns.Library
Each engineer owns a organization.,Engineer ⊑ ∃owns.Organization
"If a city attends anything, it must be a animal.",City ⊑ ∀attends.Animal
All products are defined as a library or a device.,Product ⊑ Library ⊔ Device
A organization is neither a customer nor a university.,Organization ⊑ ¬(Customer ⊔ University)
A course is something that treats a book.,Course ⊑ ∃treats.Book
Anything that sells a country also sells a employee.,∃sells.Country ⊑ ∃sells.Employee
Anything that delivers a food also delivers a hardware.,∃delivers.Food ⊑ ∃delivers.Hardware
Anything that works for a school also works for a researcher.,∃worksFor.School ⊑ ∃worksFor.Researcher
A course is neither a company nor a product.,Course ⊑ ¬(Company ⊔ Product)
A order cannot be a doctor.,Order ⊑ ¬Doctor
Whatever is both a plant and a student teaches a invoice.,Plant ⊓ Student ⊑ ∃teaches.Invoice
Every university supervises at least one food.,University ⊑ ∃supervises.Food
A food is always a car.,Food ⊑ Car
No account is a music.,Account ⊑ ¬Music
A teacher cannot be a organization.,Teacher ⊑ ¬Organization
Every publication buys only things that are either a account or a building.,Publication ⊑ ∀buys.(Account ⊔ Building)
Anything that is located in only doctors.,∀locatedIn.Doctor
A project and a hardware.,Project ⊓ Hardware
Every order owns only researchers.,Order ⊑ ∀owns.Researcher
A researcher or a employee.,Researcher ⊔ Employee
Every engineer is a service that manages at least one manager.,Engineer ⊑ Service ⊓ ∃manages.Manager
Every hospital has child only things that are either a scientist or a software.,Hospital ⊑ ∀hasChild.(Scientist ⊔ Software)
Every university is a device that delivers at least one city.,University ⊑ Device ⊓ ∃delivers.City
